Timestamp,Student ID,Attendance,Facial Expression,Interaction Level,Posture,Movement (m),Heart Rate,Skin Temperature,Breathing Rate,Classroom Noise Level,Lighting,Attention,Engagement,Inactivity,Class Subject,Date
2024-12-17,1,1,Sad,1,Upright,3.29,82,36.1,19,51,286,0,1,0,Mathematics,2024-12-17
2024-12-18,1,1,Happy,3,Upright,0.95,88,35.4,14,58,259,0,1,0,History,2024-12-18
2024-12-19,1,0,Happy,10,Leaning Forward,4.18,65,37.3,15,55,252,0,1,0,Literature,2024-12-19
2024-12-20,1,1,Happy,2,Slouched,0.01,84,35.7,19,59,254,1,0,0,Literature,2024-12-20
2024-12-21,1,1,Sad,0,Leaning Forward,3.68,63,36.9,12,51,274,0,0,1,Literature,2024-12-21
2024-12-22,1,0,Sad,1,Leaning Forward,0.34,75,36.0,15,68,276,0,0,1,Mathematics,2024-12-22
2024-12-23,1,1,Neutral,3,Leaning Forward,3.58,75,35.7,14,70,238,0,1,0,Literature,2024-12-23
2024-12-24,1,0,Surprised,9,Leaning Forward,4.98,64,36.3,20,58,216,1,0,0,Science,2024-12-24
2024-12-25,1,1,Neutral,2,Slouched,4.17,79,36.5,20,50,285,0,0,1,Science,2024-12-25
2024-12-26,1,1,Happy,1,Leaning Forward,2.77,77,35.7,15,60,226,0,0,1,Science,2024-12-26
2024-12-27,1,0,Happy,10,Slouched,4.15,62,35.0,14,70,233,1,1,0,History,2024-12-27
2024-12-28,1,1,Angry,0,Upright,0.38,69,36.4,17,68,270,1,2,0,History,2024-12-28
2024-12-29,1,0,Neutral,5,Upright,4.49,73,36.7,13,61,299,1,0,0,Literature,2024-12-29
2024-12-30,1,0,Sad,6,Upright,0.9,81,37.0,18,57,234,0,0,1,History,2024-12-30
2024-12-01,2,0,Surprised,3,Upright,4.08,89,35.9,15,57,203,0,1,0,History,2024-12-01
2024-12-02,2,1,Happy,4,Slouched,3.21,85,36.7,20,60,203,1,1,0,Mathematics,2024-12-02
2024-12-03,2,1,Happy,1,Leaning Forward,2.17,80,36.1,20,53,249,1,0,0,History,2024-12-03
2024-12-04,2,1,Happy,8,Leaning Forward,3.43,72,35.9,13,60,279,1,0,0,Science,2024-12-04
2024-12-05,2,1,Angry,4,Leaning Forward,2.04,85,36.7,20,54,224,0,2,0,Literature,2024-12-05
2024-12-06,2,0,Angry,9,Slouched,2.03,60,35.8,15,63,300,1,2,0,Science,2024-12-06
2024-12-07,2,1,Sad,8,Slouched,3.97,70,36.6,16,66,284,1,1,0,Science,2024-12-07
2024-12-08,2,1,Sad,3,Upright,0.12,75,37.5,13,64,253,0,0,1,History,2024-12-08
2024-12-09,2,1,Sad,2,Leaning Forward,3.44,66,36.9,15,55,289,1,1,0,Literature,2024-12-09
2024-12-10,2,0,Happy,7,Upright,4.01,93,37.5,17,64,278,0,2,0,Literature,2024-12-10
2024-12-11,2,1,Surprised,4,Upright,4.2,77,36.9,20,65,280,1,0,0,History,2024-12-11
2024-12-12,2,0,Neutral,3,Slouched,1.68,94,35.2,14,57,249,1,1,0,History,2024-12-12
2024-12-13,2,1,Surprised,5,Leaning Forward,2.33,63,35.5,18,62,298,0,0,1,Mathematics,2024-12-13
2024-12-14,2,0,Neutral,4,Slouched,4.27,86,36.3,20,69,228,1,1,0,Literature,2024-12-14
2024-12-15,2,1,Surprised,0,Slouched,1.68,85,36.8,19,54,279,0,1,0,Mathematics,2024-12-15
2024-12-16,2,0,Happy,10,Slouched,0.68,89,35.5,16,62,241,1,2,0,History,2024-12-16
2024-12-17,2,1,Surprised,4,Slouched,1.26,65,36.2,20,51,244,1,1,0,History,2024-12-17
2024-12-18,2,0,Happy,3,Upright,4.2,99,35.4,14,65,285,0,2,0,Mathematics,2024-12-18
2024-12-19,2,1,Neutral,2,Leaning Forward,3.04,67,36.9,14,59,213,0,1,0,Mathematics,2024-12-19
2024-12-20,2,1,Surprised,3,Upright,2.96,100,35.6,16,69,215,1,2,0,Mathematics,2024-12-20
2024-12-21,2,1,Neutral,1,Leaning Forward,3.24,60,37.1,19,53,255,1,2,0,Science,2024-12-21
2024-12-22,2,0,Surprised,2,Leaning Forward,2.61,77,36.5,20,65,259,1,2,0,Literature,2024-12-22
2024-12-23,2,0,Happy,4,Slouched,1.22,89,36.4,18,60,203,1,1,0,Literature,2024-12-23
2024-12-24,2,1,Sad,5,Slouched,1.7,98,36.8,16,67,201,1,0,0,History,2024-12-24
2024-12-25,2,1,Surprised,8,Upright,3.45,91,36.1,12,52,237,0,0,1,History,2024-12-25
2024-12-26,2,0,Neutral,10,Leaning Forward,1.85,95,36.3,18,67,242,1,2,0,Science,2024-12-26
2024-12-27,2,1,Neutral,3,Upright,3.61,80,35.3,20,55,224,1,1,0,History,2024-12-27
2024-12-28,2,1,Happy,3,Slouched,1.14,71,35.8,20,54,235,1,1,0,Mathematics,2024-12-28
2024-12-29,2,1,Sad,10,Slouched,0.51,60,36.4,19,65,256,0,2,0,Science,2024-12-29
2024-12-30,2,1,Surprised,1,Upright,2.0,64,36.4,12,54,219,0,0,1,Science,2024-12-30
2024-12-01,3,0,Angry,6,Leaning Forward,2.98,99,35.6,20,62,257,0,0,1,Literature,2024-12-01
2024-12-02,3,1,Neutral,9,Leaning Forward,0.3,66,37.4,15,70,227,1,2,0,Science,2024-12-02
2024-12-03,3,0,Sad,8,Upright,0.78,86,36.1,19,59,204,0,0,1,History,2024-12-03
2024-12-04,3,1,Surprised,1,Leaning Forward,1.17,76,37.0,15,63,214,1,2,0,History,2024-12-04
2024-12-05,3,0,Happy,0,Upright,3.96,98,36.9,16,64,215,0,1,0,Literature,2024-12-05
2024-12-06,3,1,Neutral,8,Leaning Forward,2.47,65,36.5,18,60,277,1,2,0,Science,2024-12-06
2024-12-07,3,0,Angry,9,Upright,5.0,77,36.4,14,65,266,0,0,1,Literature,2024-12-07
2024-12-08,3,1,Surprised,1,Slouched,1.74,81,35.8,13,55,242,1,0,0,Literature,2024-12-08
2024-12-09,3,1,Angry,0,Slouched,0.44,76,35.8,18,66,200,1,1,0,Literature,2024-12-09
2024-12-10,3,0,Angry,5,Leaning Forward,3.78,100,36.1,12,56,234,1,0,0,History,2024-12-10
2024-12-11,3,1,Happy,0,Leaning Forward,3.04,75,36.8,16,67,201,1,1,0,Literature,2024-12-11
2024-12-12,3,0,Surprised,1,Leaning Forward,4.16,91,37.3,16,66,290,0,0,1,Science,2024-12-12
2024-12-13,3,1,Sad,7,Leaning Forward,0.72,72,37.3,20,54,208,1,1,0,Science,2024-12-13
2024-12-14,3,1,Happy,4,Leaning Forward,1.49,97,36.4,19,54,257,1,1,0,Literature,2024-12-14
2024-12-15,3,1,Surprised,5,Upright,4.9,75,36.4,15,63,205,1,1,0,Science,2024-12-15
2024-12-16,3,1,Surprised,10,Leaning Forward,4.9,91,37.4,14,66,275,1,2,0,Science,2024-12-16
2024-12-17,3,0,Angry,7,Upright,3.61,86,37.2,14,52,260,0,1,0,Science,2024-12-17
2024-12-18,3,1,Happy,5,Leaning Forward,4.3,84,37.4,19,67,204,1,2,0,Mathematics,2024-12-18
2024-12-19,3,1,Sad,1,Slouched,4.89,100,36.8,13,64,221,0,2,0,Science,2024-12-19
2024-12-20,3,1,Happy,4,Slouched,1.87,69,35.6,18,68,287,0,0,1,History,2024-12-20
2024-12-21,3,0,Angry,6,Leaning Forward,3.42,91,37.3,14,57,259,0,0,1,Science,2024-12-21
2024-12-22,3,0,Surprised,4,Leaning Forward,2.73,64,36.1,17,68,238,1,1,0,Literature,2024-12-22
2024-12-23,3,1,Sad,6,Slouched,0.53,84,36.4,16,59,202,1,1,0,Literature,2024-12-23
2024-12-24,3,0,Angry,7,Slouched,3.88,74,36.5,17,57,281,1,0,0,History,2024-12-24
2024-12-25,3,0,Happy,10,Leaning Forward,0.2,88,35.1,17,54,211,1,2,0,Science,2024-12-25
2024-12-26,3,1,Sad,3,Upright,3.93,83,36.3,16,55,232,1,2,0,Literature,2024-12-26
2024-12-27,3,1,Happy,7,Upright,0.7,74,37.2,18,67,246,1,2,0,Mathematics,2024-12-27
2024-12-28,3,1,Angry,1,Slouched,1.84,76,36.5,17,53,286,1,0,0,History,2024-12-28
2024-12-29,3,1,Angry,3,Leaning Forward,0.32,89,37.3,16,70,252,1,0,0,Mathematics,2024-12-29
2024-12-30,3,0,Neutral,7,Upright,0.49,94,35.3,19,61,285,0,0,1,Literature,2024-12-30
2024-12-01,4,0,Surprised,9,Slouched,4.7,77,35.1,17,56,256,0,1,0,Literature,2024-12-01
2024-12-02,4,0,Neutral,8,Leaning Forward,1.79,85,35.7,13,64,211,0,1,0,History,2024-12-02
2024-12-03,4,1,Sad,2,Leaning Forward,1.03,95,35.5,15,57,242,0,0,1,History,2024-12-03
2024-12-04,4,0,Sad,8,Slouched,3.99,67,36.7,12,54,201,0,1,0,Science,2024-12-04
2024-12-05,4,1,Happy,2,Slouched,0.26,86,36.3,13,65,257,0,2,0,Science,2024-12-05
2024-12-06,4,0,Angry,0,Leaning Forward,3.92,93,35.8,12,51,261,0,1,0,Literature,2024-12-06
2024-12-07,4,0,Surprised,7,Upright,4.5,80,36.5,13,54,235,1,2,0,Science,2024-12-07
2024-12-08,4,1,Surprised,8,Leaning Forward,2.15,67,37.1,20,56,255,1,2,0,Literature,2024-12-08
2024-12-09,4,1,Surprised,6,Slouched,3.65,80,36.1,16,61,219,0,1,0,Literature,2024-12-09
2024-12-10,4,0,Happy,6,Upright,3.72,83,37.0,20,51,275,0,0,1,Science,2024-12-10
2024-12-11,4,1,Surprised,0,Slouched,3.0,82,35.3,20,56,219,0,1,0,Literature,2024-12-11
2024-12-12,4,1,Angry,5,Upright,3.81,96,35.6,18,67,298,0,0,1,Mathematics,2024-12-12
2024-12-13,4,0,Neutral,4,Slouched,1.76,71,37.2,18,52,218,1,0,0,Mathematics,2024-12-13
2024-12-14,4,0,Surprised,6,Slouched,1.7,83,35.8,17,68,276,0,2,0,Mathematics,2024-12-14
2024-12-15,4,0,Angry,0,Leaning Forward,0.41,88,36.7,19,69,256,0,0,1,Literature,2024-12-15
2024-12-16,4,0,Neutral,6,Upright,1.42,97,36.2,16,51,228,1,0,0,Literature,2024-12-16
2024-12-17,4,0,Neutral,3,Upright,3.82,78,35.8,12,65,295,0,0,1,Literature,2024-12-17
2024-12-18,4,1,Angry,3,Leaning Forward,2.79,82,35.2,12,63,202,0,0,1,Literature,2024-12-18
2024-12-19,4,1,Angry,6,Leaning Forward,3.2,78,35.3,12,60,221,0,1,0,Literature,2024-12-19
2024-12-20,4,1,Happy,3,Slouched,2.94,93,35.2,16,60,228,1,0,0,Science,2024-12-20
2024-12-21,4,0,Angry,8,Upright,4.53,82,35.9,14,57,213,0,0,1,History,2024-12-21
2024-12-22,4,0,Angry,2,Leaning Forward,0.38,100,36.2,19,68,282,1,0,0,Science,2024-12-22
2024-12-23,4,1,Happy,7,Slouched,3.16,77,36.5,17,66,209,1,0,0,Science,2024-12-23
2024-12-24,4,0,Happy,5,Slouched,0.38,65,36.5,20,62,259,1,1,0,Mathematics,2024-12-24
2024-12-25,4,0,Neutral,9,Slouched,2.51,63,36.1,17,52,264,1,2,0,History,2024-12-25
2024-12-26,4,1,Surprised,8,Leaning Forward,3.05,83,35.9,16,62,252,0,0,1,Science,2024-12-26
2024-12-27,4,1,Happy,5,Upright,2.79,84,35.7,14,60,210,0,2,0,History,2024-12-27
2024-12-28,4,1,Sad,9,Leaning Forward,4.69,79,36.4,17,54,285,1,1,0,Mathematics,2024-12-28
2024-12-29,4,1,Happy,5,Slouched,0.9,73,35.9,19,56,228,1,2,0,History,2024-12-29
2024-12-30,4,1,Happy,8,Leaning Forward,4.18,93,35.1,17,69,216,0,0,1,Literature,2024-12-30
2024-12-01,5,0,Angry,2,Leaning Forward,2.19,86,35.9,15,64,278,0,0,1,Science,2024-12-01
2024-12-02,5,0,Neutral,7,Upright,1.84,96,37.5,19,59,299,1,0,0,Literature,2024-12-02
2024-12-03,5,0,Angry,2,Slouched,0.26,90,37.2,20,53,291,1,0,0,Mathematics,2024-12-03
2024-12-04,5,0,Neutral,7,Leaning Forward,0.74,87,35.2,15,64,244,1,0,0,Mathematics,2024-12-04
2024-12-05,5,1,Angry,5,Upright,1.93,65,35.9,12,60,212,1,0,0,Science,2024-12-05
2024-12-06,5,0,Neutral,7,Leaning Forward,4.16,90,36.1,12,52,202,0,0,1,Science,2024-12-06
2024-12-07,5,1,Happy,4,Upright,1.51,63,35.6,19,52,214,0,0,1,Literature,2024-12-07
2024-12-08,5,0,Sad,4,Slouched,0.01,82,35.6,18,55,285,0,2,0,Mathematics,2024-12-08
2024-12-09,5,0,Surprised,7,Upright,3.18,83,35.6,12,61,300,1,0,0,Mathematics,2024-12-09
2024-12-10,5,0,Angry,5,Upright,0.22,94,35.8,14,64,289,1,0,0,Literature,2024-12-10
2024-12-11,5,0,Surprised,0,Slouched,1.01,72,37.2,17,59,265,0,0,1,Literature,2024-12-11
2024-12-12,5,0,Sad,4,Slouched,4.31,63,37.2,17,58,215,1,1,0,Science,2024-12-12
2024-12-13,5,1,Surprised,5,Upright,2.48,91,35.9,20,58,210,1,1,0,Literature,2024-12-13
2024-12-14,5,0,Angry,4,Slouched,0.51,80,36.7,16,64,277,0,1,0,Literature,2024-12-14
2024-12-15,5,1,Neutral,7,Upright,3.63,82,36.5,18,58,281,0,2,0,Mathematics,2024-12-15
2024-12-16,5,1,Neutral,8,Leaning Forward,3.4,61,35.4,19,51,216,0,2,0,Mathematics,2024-12-16
2024-12-17,5,1,Neutral,6,Leaning Forward,0.16,69,36.7,17,61,256,0,2,0,Mathematics,2024-12-17
2024-12-18,5,1,Surprised,5,Leaning Forward,1.39,67,35.1,14,65,266,0,2,0,Literature,2024-12-18
2024-12-19,5,1,Surprised,3,Leaning Forward,1.43,91,35.5,14,52,257,0,1,0,History,2024-12-19
2024-12-20,5,1,Neutral,1,Leaning Forward,2.71,79,37.1,14,61,265,1,0,0,History,2024-12-20
2024-12-21,5,0,Sad,7,Upright,1.8,96,35.9,20,54,278,0,0,1,Mathematics,2024-12-21
2024-12-22,5,1,Surprised,8,Slouched,3.85,96,35.2,17,70,209,0,1,0,Literature,2024-12-22
2024-12-23,5,1,Sad,8,Leaning Forward,2.94,68,36.1,12,53,266,1,2,0,History,2024-12-23
2024-12-24,5,0,Neutral,3,Slouched,4.74,93,37.2,13,58,225,1,0,0,Science,2024-12-24
2024-12-25,5,1,Angry,8,Upright,2.51,70,36.5,14,55,284,0,2,0,Science,2024-12-25
2024-12-26,5,0,Happy,10,Leaning Forward,1.32,73,36.9,18,69,281,0,0,1,Mathematics,2024-12-26
2024-12-27,5,1,Neutral,7,Upright,4.02,85,35.7,13,51,220,1,2,0,Literature,2024-12-27
2024-12-28,5,1,Sad,5,Leaning Forward,0.72,80,36.8,17,62,216,1,1,0,Science,2024-12-28
2024-12-29,5,0,Surprised,1,Slouched,2.25,69,35.2,16,62,278,0,1,0,Literature,2024-12-29
2024-12-30,5,1,Angry,5,Upright,3.82,91,37.5,19,65,239,0,0,1,Literature,2024-12-30
2024-12-01,6,1,Angry,7,Upright,1.08,82,35.1,16,65,276,0,0,1,Literature,2024-12-01
2024-12-02,6,0,Happy,6,Upright,4.41,83,36.9,17,51,251,1,2,0,Mathematics,2024-12-02
2024-12-03,6,1,Happy,6,Leaning Forward,2.25,95,35.7,13,54,212,0,1,0,Literature,2024-12-03
2024-12-04,6,1,Sad,3,Leaning Forward,2.55,92,35.1,12,54,291,1,1,0,Science,2024-12-04
2024-12-05,6,1,Sad,9,Leaning Forward,0.7,99,35.8,18,69,294,1,2,0,Science,2024-12-05
2024-12-06,6,1,Angry,4,Slouched,4.08,83,35.8,13,63,274,1,2,0,Science,2024-12-06
2024-12-07,6,1,Neutral,10,Leaning Forward,2.89,63,36.5,14,66,280,0,2,0,Literature,2024-12-07
2024-12-08,6,0,Happy,9,Leaning Forward,0.55,61,36.1,18,54,252,0,2,0,History,2024-12-08
2024-12-09,6,1,Happy,2,Leaning Forward,1.04,80,37.5,19,66,248,1,2,0,Science,2024-12-09
2024-12-10,6,1,Angry,5,Leaning Forward,3.86,76,36.5,15,57,235,0,1,0,Science,2024-12-10
2024-12-11,6,1,Sad,7,Slouched,2.4,95,37.3,16,59,215,0,1,0,Literature,2024-12-11
2024-12-12,6,0,Neutral,0,Slouched,4.78,65,35.9,19,70,232,1,1,0,Literature,2024-12-12
2024-12-13,6,1,Angry,4,Upright,0.55,97,35.6,12,66,228,0,0,1,History,2024-12-13
2024-12-14,6,1,Neutral,7,Upright,3.41,68,35.0,20,55,252,0,0,1,Literature,2024-12-14
2024-12-15,6,0,Neutral,5,Slouched,3.23,65,36.6,15,67,294,1,2,0,Mathematics,2024-12-15
2024-12-16,6,0,Happy,6,Slouched,0.93,78,37.2,12,59,272,0,1,0,Mathematics,2024-12-16
2024-12-17,6,1,Angry,8,Slouched,4.45,68,37.1,19,58,224,1,1,0,Mathematics,2024-12-17
2024-12-18,6,1,Neutral,2,Upright,3.68,78,36.4,15,55,278,1,0,0,Literature,2024-12-18
2024-12-19,6,1,Happy,6,Leaning Forward,0.48,68,36.2,15,50,233,1,2,0,Literature,2024-12-19
2024-12-20,6,1,Neutral,4,Leaning Forward,3.61,60,35.7,17,57,207,0,1,0,Mathematics,2024-12-20
2024-12-21,6,0,Surprised,10,Leaning Forward,4.62,79,36.7,16,61,278,1,1,0,History,2024-12-21
2024-12-22,6,1,Sad,7,Leaning Forward,4.94,83,36.0,20,65,296,0,0,1,History,2024-12-22
2024-12-23,6,0,Angry,7,Leaning Forward,3.52,64,37.3,13,51,270,0,2,0,History,2024-12-23
2024-12-24,6,1,Angry,7,Upright,3.4,97,36.2,20,64,207,0,0,1,Literature,2024-12-24
2024-12-25,6,1,Surprised,9,Upright,2.79,79,36.8,18,58,200,0,2,0,History,2024-12-25
2024-12-26,6,1,Neutral,1,Leaning Forward,4.97,64,37.5,19,51,236,0,0,1,Literature,2024-12-26
2024-12-27,6,1,Neutral,6,Slouched,4.35,84,35.9,20,54,283,0,0,1,Science,2024-12-27
2024-12-28,6,1,Angry,2,Leaning Forward,4.89,60,36.9,16,64,286,0,0,1,Literature,2024-12-28
2024-12-29,6,0,Surprised,5,Upright,1.38,67,35.1,18,69,298,1,0,0,Mathematics,2024-12-29
2024-12-30,6,0,Happy,9,Upright,2.23,63,35.6,12,62,256,0,0,1,History,2024-12-30
2024-12-01,7,0,Angry,4,Upright,4.08,96,35.8,17,57,238,0,0,1,History,2024-12-01
2024-12-02,7,1,Neutral,0,Leaning Forward,4.74,71,36.6,18,67,263,0,1,0,Mathematics,2024-12-02
2024-12-03,7,1,Angry,5,Leaning Forward,2.08,69,35.7,14,67,260,1,2,0,History,2024-12-03
2024-12-04,7,0,Surprised,0,Leaning Forward,2.06,86,36.4,14,62,231,0,1,0,Science,2024-12-04
2024-12-05,7,0,Surprised,5,Upright,2.68,72,35.1,18,69,277,0,1,0,Mathematics,2024-12-05
2024-12-06,7,0,Surprised,3,Slouched,1.52,60,35.5,15,53,295,0,0,1,Literature,2024-12-06
2024-12-07,7,0,Surprised,3,Leaning Forward,1.61,78,36.0,20,70,245,0,2,0,Science,2024-12-07
2024-12-08,7,1,Surprised,1,Leaning Forward,2.35,80,37.3,17,60,252,1,1,0,Mathematics,2024-12-08
2024-12-09,7,0,Happy,4,Leaning Forward,4.67,97,36.8,16,54,225,0,2,0,Science,2024-12-09
2024-12-10,7,0,Surprised,8,Leaning Forward,4.72,81,35.6,19,70,294,0,1,0,Literature,2024-12-10
2024-12-11,7,1,Sad,2,Leaning Forward,2.73,71,37.3,20,70,207,1,0,0,Mathematics,2024-12-11
2024-12-12,7,0,Happy,6,Upright,4.21,74,35.2,14,50,227,0,2,0,Literature,2024-12-12
2024-12-13,7,1,Surprised,0,Upright,2.66,86,35.0,20,58,268,1,0,0,Science,2024-12-13
2024-12-14,7,1,Sad,1,Upright,2.62,75,35.5,20,58,245,0,2,0,Science,2024-12-14
2024-12-15,7,1,Surprised,7,Leaning Forward,1.22,74,35.7,13,70,283,1,0,0,Mathematics,2024-12-15
2024-12-16,7,1,Surprised,8,Slouched,0.28,60,36.8,13,65,255,0,1,0,Science,2024-12-16
2024-12-17,7,0,Sad,3,Leaning Forward,4.44,90,35.7,13,58,269,0,2,0,Mathematics,2024-12-17
2024-12-18,7,0,Sad,9,Upright,3.76,85,37.3,16,55,272,0,1,0,History,2024-12-18
2024-12-19,7,1,Surprised,2,Leaning Forward,3.62,92,36.9,17,51,212,1,2,0,Literature,2024-12-19
2024-12-20,7,1,Angry,9,Leaning Forward,1.98,80,35.1,16,64,262,0,0,1,History,2024-12-20
2024-12-21,7,1,Surprised,2,Leaning Forward,2.93,84,35.2,16,57,291,1,2,0,Mathematics,2024-12-21
2024-12-22,7,0,Surprised,10,Upright,3.7,80,35.9,13,50,239,0,1,0,Literature,2024-12-22
2024-12-23,7,0,Sad,1,Upright,2.15,95,36.4,18,53,203,1,1,0,Mathematics,2024-12-23
2024-12-24,7,0,Angry,9,Slouched,4.32,60,35.7,18,52,292,1,2,0,History,2024-12-24
2024-12-25,7,1,Sad,2,Slouched,1.51,91,35.4,14,63,235,0,2,0,Literature,2024-12-25
2024-12-26,7,0,Neutral,4,Upright,3.6,91,36.5,15,64,213,1,1,0,History,2024-12-26
2024-12-27,7,1,Neutral,9,Slouched,4.02,81,36.1,18,70,276,1,0,0,History,2024-12-27
2024-12-28,7,0,Surprised,5,Upright,4.82,80,35.7,19,68,300,1,1,0,History,2024-12-28
2024-12-29,7,1,Surprised,5,Upright,4.66,72,36.5,20,55,287,1,1,0,Mathematics,2024-12-29
2024-12-30,7,0,Surprised,4,Leaning Forward,0.35,86,36.7,14,70,238,1,2,0,History,2024-12-30
2024-12-01,8,0,Surprised,6,Upright,2.25,98,36.2,18,67,264,1,2,0,Literature,2024-12-01
2024-12-02,8,0,Happy,3,Leaning Forward,3.32,70,36.6,12,68,282,0,1,0,Literature,2024-12-02
2024-12-03,8,0,Happy,1,Slouched,1.11,93,36.4,15,64,247,1,1,0,Literature,2024-12-03
2024-12-04,8,0,Neutral,0,Slouched,0.52,86,37.3,13,53,293,1,2,0,History,2024-12-04
2024-12-05,8,1,Surprised,3,Leaning Forward,2.41,90,35.2,19,60,208,1,1,0,Science,2024-12-05
2024-12-06,8,0,Happy,5,Leaning Forward,0.55,70,37.3,15,66,222,0,2,0,History,2024-12-06
2024-12-07,8,1,Surprised,3,Slouched,3.15,71,36.6,18,62,203,1,2,0,History,2024-12-07
2024-12-08,8,1,Surprised,0,Leaning Forward,1.07,77,36.9,13,68,213,1,2,0,History,2024-12-08
2024-12-09,8,0,Surprised,1,Slouched,3.35,91,36.3,17,69,249,1,1,0,Literature,2024-12-09
2024-12-10,8,1,Surprised,9,Upright,4.07,79,37.3,13,54,240,0,1,0,Mathematics,2024-12-10
2024-12-11,8,0,Sad,5,Leaning Forward,0.71,84,36.0,14,68,249,0,1,0,Literature,2024-12-11
2024-12-12,8,0,Angry,2,Slouched,1.44,71,35.8,19,69,206,0,1,0,Science,2024-12-12
2024-12-13,8,0,Sad,6,Leaning Forward,2.53,91,36.0,19,63,290,0,1,0,Literature,2024-12-13
2024-12-14,8,0,Angry,0,Upright,1.46,77,35.6,16,55,299,1,0,0,Literature,2024-12-14
2024-12-15,8,0,Angry,1,Slouched,3.88,83,36.4,12,64,269,1,2,0,History,2024-12-15
2024-12-16,8,0,Neutral,0,Slouched,1.31,65,36.1,13,57,226,1,0,0,Science,2024-12-16
2024-12-17,8,0,Sad,3,Upright,2.85,94,35.7,20,55,241,1,0,0,Science,2024-12-17
2024-12-18,8,1,Angry,10,Upright,0.68,86,37.3,16,70,216,1,2,0,History,2024-12-18
2024-12-19,8,1,Sad,10,Slouched,2.45,96,36.6,18,62,257,0,0,1,Mathematics,2024-12-19
2024-12-20,8,1,Neutral,7,Slouched,1.64,60,37.2,13,64,281,0,1,0,Science,2024-12-20
2024-12-21,8,1,Sad,6,Upright,2.47,80,37.1,17,67,273,0,2,0,History,2024-12-21
2024-12-22,8,0,Happy,1,Leaning Forward,3.92,89,35.0,14,64,258,1,1,0,Mathematics,2024-12-22
2024-12-23,8,0,Neutral,2,Slouched,0.47,83,35.6,17,70,221,1,0,0,Mathematics,2024-12-23
2024-12-24,8,1,Sad,6,Leaning Forward,0.46,66,35.0,19,52,216,1,2,0,History,2024-12-24
2024-12-25,8,0,Neutral,1,Slouched,3.47,90,35.2,18,52,293,1,0,0,Mathematics,2024-12-25
2024-12-26,8,1,Neutral,2,Slouched,3.87,68,36.6,14,52,267,0,1,0,Mathematics,2024-12-26
2024-12-27,8,1,Sad,10,Leaning Forward,0.76,86,36.5,19,56,211,0,1,0,Mathematics,2024-12-27
2024-12-28,8,1,Neutral,6,Slouched,3.96,75,35.7,13,57,270,0,0,1,Science,2024-12-28
2024-12-29,8,1,Sad,8,Leaning Forward,2.55,85,35.7,12,57,263,0,2,0,Literature,2024-12-29
2024-12-30,8,1,Angry,1,Leaning Forward,4.44,60,37.5,17,54,249,0,0,1,Literature,2024-12-30
2024-12-01,9,0,Surprised,1,Upright,2.94,60,35.7,12,51,250,1,2,0,Science,2024-12-01
2024-12-02,9,1,Happy,10,Leaning Forward,2.69,69,35.7,16,52,265,1,1,0,History,2024-12-02
2024-12-03,9,1,Surprised,9,Leaning Forward,3.82,64,35.8,18,57,207,0,2,0,History,2024-12-03
2024-12-04,9,0,Surprised,9,Leaning Forward,0.28,71,35.3,14,50,220,0,1,0,Literature,2024-12-04
2024-12-05,9,1,Sad,5,Upright,3.75,77,36.8,13,50,242,1,2,0,Literature,2024-12-05
2024-12-06,9,0,Neutral,9,Leaning Forward,0.39,89,36.3,12,65,272,1,2,0,History,2024-12-06
